RA30;CODIGO_INVENTARIO;CODIGO_SEGMENTO_PISTA;CODIGO_PAVIMENTO;CODIGO_VOLUME;CODIGO_ROTA;DATA_ANALISE;NOME_RUA;COMPRIMENTO;LARGURA_PISTA;IDADE;ANO_ULTIMA_MR;CODIGO_MR;CODIGO_POCOVISITA;CODIGO_INTERFERENCIA;CODIGO_CALCADA;CODIGO_DRENAGEM;CODIGO_SUBLEITO;CODIGO_ESTRUTURA;CODIGO_SENTIDO;CODIGO_GRID;DA_RUA;ATE_RUA;NUMERO_FAIXAS;RAIZ;BOCA_LOBO;CODIGO_CONDICAO_DRENAGEM;CODIGO_ESTACIONAMENTO;CODIGO_MEIOFIO;CODIGO_CONDICAO_MEIOFIO;CODIGO_CONDICAO_CALCADA;CODIGO_HIERARQUIA;VELOCIDADE_VIA;VEICULOS_PESADOS;
1;13274;10615;1;3;;11/08/10;;;10;;;;;;3;1;3;;1;;;;3;N;S;3;2;1;3;3;3;60;20;
1;21033;10616;1;5;;23/11/10;;;7,5;;;;;;3;1;3;;2;;;;2;N;S;3;3;1;3;3;5;30;1;
1;21032;10617;1;5;;23/11/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;N;3;2;1;3;3;5;30;2;
1;21034;10619;1;4;;23/11/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;S;3;2;1;3;3;5;30;2;
1;13559;10620;1;5;;13/08/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;S;3;1;1;3;3;5;30;1;
1;13552;10621;1;5;;13/08/10;;;7,5;;;;2;;1;1;3;;2;;;;2;N;S;3;1;1;3;3;5;30;1;
1;13292;10623;1;3;;11/08/10;;;10;;;;;;1;1;3;;1;;;;3;N;S;3;2;1;3;3;4;40;20;
1;13558;10624;1;5;;13/08/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;N;3;2;1;3;3;5;30;5;
1;13557;10625;1;5;;13/08/10;;;7,5;;;;2;;1;1;3;;2;;;;2;N;S;3;1;1;3;3;5;30;1;
1;13291;10626;1;3;;11/08/10;;;10;;;;;;3;1;3;;1;;;;3;N;S;3;3;3;3;3;4;40;20;
1;13272;10627;1;5;;11/08/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;S;3;2;1;3;3;5;30;1;
1;13307;10628;1;3;;11/08/10;;;10;;;;;;1;1;3;;1;;;;3;N;S;3;2;1;3;3;4;40;20;
1;13285;10629;1;3;;11/08/10;;;10;;;;;;3;1;3;;1;;;;3;N;S;3;2;1;3;3;4;40;30;
1;20905;10632;1;3;;19/11/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;S;3;2;1;3;3;4;40;10;
1;21035;10633;1;4;;23/11/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;S;3;2;1;3;3;5;30;2;
1;13381;10635;1;3;;12/08/10;;;7,5;;;;;;1;1;3;;1;;;;2;N;S;3;2;1;3;2;4;40;5;
1;13554;10636;1;5;;13/08/10;;;7,5;;;;2;;1;1;3;;2;;;;2;N;S;3;1;1;3;3;5;30;1;
1;13282;10637;1;3;;11/08/10;;;10;;;;2;;1;1;3;;1;;;;3;N;S;3;3;1;3;3;4;40;20;
1;13447;10638;1;5;;12/08/10;;;7,5;;;;2;;2;1;3;;2;;;;2;N;S;3;2;1;2;;5;30;5;
1;13276;10639;1;3;;11/08/10;;;10;;;;;;3;1;3;;1;;;;3;S;N;3;2;3;3;3;4;40;20;
1;21039;10640;1;5;;23/11/10;;;7,5;;;;1;;1;1;3;;2;;;;2;N;S;3;2;1;3;3;5;30;1;
1;21172;10641;1;5;;25/11/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;S;3;2;1;3;3;5;30;1;
1;15334;10643;1;4;;10/09/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;N;3;2;1;3;3;5;30;7;
1;14986;10644;1;5;;02/09/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;N;3;2;1;3;3;5;30;2;
1;14982;10645;1;4;;02/09/10;;;7,5;;;;1;;3;1;3;;1;;;;2;N;S;3;2;3;3;3;4;40;5;
1;14207;10646;1;4;;24/08/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;S;3;2;1;3;3;5;30;5;
1;14454;10647;1;1;;26/08/10;;;21;;;;;;1;1;3;;1;;;;6;N;S;3;2;1;3;3;3;60;20;
1;14260;10648;1;4;;25/08/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;N;3;1;1;3;3;5;30;2;
1;14279;10649;1;2;;25/08/10;;;14;;;;;;3;1;3;;1;;;;4;N;S;3;2;1;3;3;3;60;20;
1;15137;10650;1;4;;06/09/10;;;7,5;;;;2;;3;1;3;;2;;;;2;N;N;3;2;1;3;3;5;30;5;
1;14389;10651;6;4;;26/08/10;;;7,5;;;;;;2;2;3;;2;;;;2;N;N;;2;2;;;4;40;5;
1;14270;10652;1;4;;25/08/10;;;7,5;;;;;;1;1;3;;1;;;;2;N;N;3;2;1;3;3;5;30;2;
1;15908;10653;1;4;;17/09/10;;;7,5;;;;;;2;1;3;;1;;;;2;N;N;3;2;1;3;;4;40;5;
1;15070;10654;1;5;;06/09/10;;;7,5;;;;1;;1;1;3;;2;;;;2;N;S;3;2;1;3;2;5;30;1;
1;16660;10655;1;4;;28/09/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;S;3;2;1;3;3;5;30;5;
1;41671;10057;1;1;;05/07/11;;;7,5;;;;;;2;1;3;;1;;;;2;N;N;3;2;1;3;;3;60;5;
1;41674;10058;1;1;;05/07/11;;;10;;;;;;2;1;3;;1;;;;3;N;N;3;2;1;3;;3;60;5;
1;41162;10601;1;3;;29/06/11;;;10;;;;;;3;1;3;;1;;;;3;N;S;3;2;1;3;3;3;60;2;
1;41108;10622;1;2;;28/06/11;;;10;;;;;;1;1;3;;1;;;;3;N;S;3;2;1;3;3;3;60;15;
1;41471;12152;1;2;;30/06/11;;;10;;;;;;1;1;3;;1;;;;3;N;S;3;3;1;3;2;3;60;10;
